"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CD58",-0.550234894688931,8.17467921903445,-14.1252865203767,7.77904144004862e-34,4.01165167063307e-30,66.0452625261704
"ASAP2",-0.549945126322418,8.09234592360633,-13.4233100867317,2.0331466694444e-31,5.2424686871624e-28,60.5860062735088
"YBX1",-0.339097548514533,8.39396179149501,-11.9821089852597,1.58229574900438e-26,2.71996639253853e-23,49.5123934436558
"NAGK",-0.370704929210111,8.0892154546056,-11.1891039386736,6.75223245006351e-24,8.70531568624438e-21,43.5577839083493
"AOX2P",0.382882981465515,8.07499512648743,11.0935760694393,1.38838673532976e-23,1.43198207881911e-20,42.835399891171
"TTLL4",0.259348138695467,8.05312268393085,11.0561840061179,1.83996329487236e-23,1.58144845194279e-20,42.5433509170248
"YY1P2",-0.327320499179971,8.32662666458463,-10.9999501628482,2.8084880964391e-23,1.84153315620302e-20,42.1566655562603
"AL355999.1",-0.39243739093321,8.34031087765307,-10.9976824631318,2.85675106643866e-23,1.84153315620302e-20,42.1495900631063
"DHX9",-0.40415389299881,8.30068510498528,-10.8932895078725,6.25106807837539e-23,3.5818620089091e-20,41.377157977889
"AC082651.1",0.266976477367278,7.98567795377534,10.8139794505391,1.1312769129783e-22,5.83399504022909e-20,40.7829773326338
"AL160171.1",-0.325965477517253,8.50556983530544,-10.776267316522,1.49910519134622e-22,7.02807770161134e-20,40.5414244577889
"DNALI1",0.403670934720033,7.71348644696643,10.3666408698886,3.11660739592546e-21,1.33936202839897e-18,37.5576336590044
"TTF2",-0.283464935471569,8.42144076461082,-10.2973628244509,5.1836631065853e-21,2.0563192800508e-18,37.0599798028224
"BARHL2",0.225528794923796,7.96425094735647,10.2525254813219,7.19995348559493e-21,2.65215429465807e-18,36.7237608414373
"LIMS1",0.26069072347907,7.95571088671328,10.2299416880407,8.4939180619996e-21,2.92020902971546e-18,36.5644410302772
"LRRC52-AS1",-0.299166014604877,8.34655398269514,-10.1891356497646,1.14456910898251e-20,3.68908930938927e-18,36.2756610829904
"LINC02042",0.288226919558075,8.14084422574488,10.1723701285822,1.29360569829067e-20,3.92419093299116e-18,36.1392328951555
"LINC01967",0.220588939251543,7.78201920700659,9.92444872520578,7.82897315382354e-20,2.19357766757135e-17,34.3925141332172
"LINC02004",-0.226229224696389,8.35835029572031,-9.92004856269149,8.08182580644863e-20,2.19357766757135e-17,34.3625267118949
"PIP5K1A",-0.318549204182772,8.33411963408934,-9.89368256051067,9.77627771504271e-20,2.52081320882376e-17,34.1762636015339
"MIR4425",-0.264097441285987,8.11593237620667,-9.83240185946161,1.52034296279486e-19,3.73352793292052e-17,33.7370869743084
"RASSF5",-0.174181920367877,8.51781234847669,-9.79074593046454,2.05118471028731e-19,4.80816343225074e-17,33.4352883357099
"SNED1",0.309676559131238,8.33061967690905,9.72243388154244,3.34794176690436e-19,7.50666769214165e-17,32.9747641687283
"CCR5AS",-0.305032898017387,8.12342674441422,-9.69314250484151,4.12869417953592e-19,8.87153161827781e-17,32.7631597642323
"PTPN18",0.260249655175912,7.79737906462474,9.53731271958612,1.25331898127365e-18,2.58534639457128e-16,31.6743061678617
"SYNC",0.307934321446516,7.96229285376269,9.49490152681466,1.69317799596387e-18,3.35835343276372e-16,31.3872590887486
"IL12RB2",-0.287301829799166,8.40765897479069,-9.46188615456146,2.13903315457249e-18,4.08555332523346e-16,31.1586030431928
"AL590440.2",-0.264330387277028,8.26773556537831,-9.42999599814435,2.67990040460732e-18,4.93580228091427e-16,30.9355957090016
"EGOT",-0.305265324039905,8.35777820336212,-9.38261129574284,3.74373801196927e-18,6.65739894059501e-16,30.6121263737659
"MCM6",0.165249027606536,8.51141903849018,9.37368715709587,3.98667723135008e-18,6.85309816069078e-16,30.4889417197996
"RPL31",-0.181723677757953,8.50536361503922,-9.298827685551,6.74813907993217e-18,1.12258558823259e-15,30.0090048798352
"AL034351.3",-0.306658585671693,8.26569685692714,-9.25305892333024,9.30052591968327e-18,1.49883788024396e-15,29.7216929646297
"CD207",0.255120550503533,8.27032150127316,9.23625624884634,1.04610270347056e-17,1.63477322478718e-15,29.6074159831046
"AC119673.1",-0.237766453733465,8.49013229576109,-9.20535940664409,1.298257529302e-17,1.9691511995913e-15,29.3736351043113
"AL513325.1",-0.36620073722974,8.56775672184492,-9.19976780335039,1.34995089987297e-17,1.98905622589855e-15,29.3047165504939
"ARL6IP5",-0.202977135956645,8.50435957918755,-9.18026565857448,1.54675541972329e-17,2.21572713875361e-15,29.1951992882822
"AL713965.1",-0.236947158269353,8.45833377914002,-9.16247968902677,1.75094189135598e-17,2.44043441451967e-15,29.0917919110017
"GPD2",-0.202570067659338,8.47191663340092,-9.13310739716986,2.14828165322658e-17,2.84068935530499e-15,28.8873321224979
"AC093575.1",0.195410528253527,7.76020364567603,9.13513507952239,2.11818600154044e-17,2.84068935530499e-15,28.8848546730852
"CCL20",-0.171738754337372,8.50193141701897,-9.09849224636512,2.73267170597359e-17,3.52309699692645e-15,28.637775140251
"TANK",-0.338862028659128,8.01526754963518,-9.08082386443487,3.08923133565941e-17,3.88565024341355e-15,28.5476273762034
"AKNAD1",0.207423048571017,7.6311235504416,9.05526568002832,3.68814956177908e-17,4.52852078335588e-15,28.273870738837
"PPIH",0.283460970551094,8.16155457569222,9.02335852313788,4.59975577370772e-17,5.51649779651412e-15,28.1605525302113
"AKIRIN1",0.202059995359545,8.34274614359449,8.99538060034065,5.58098612635656e-17,6.54116942127745e-15,27.9704605417204
"NDC1",0.216228401702377,8.51029132601605,8.94726567342911,7.7772602576771e-17,8.91274025529796e-15,27.5565703038434
